nombre,componentes
MINI RABIT,"Plato IZQ TIM,Plato Der,Porta Piquetes,Empalme Plato Largo,Empalme Plato Corto,Correilla,Forrillo,Pasadores,Band Corta,Band Larga,Vista Forro,Peto Forro,Vivo Empalme Plato,"
RABIT,"Plato IZQ TIM,Plato Der,Porta Piquetes,Empalme Plato Largo,Empalme Plato Corto,Correilla,Forrillo,Pasadores,Band Corta,Band Larga,Vista Forro,Peto Forro,Vivo Empalme Plato,"
